,OrderID,CustomerName,Product,Quantity,UnitPrice,OrderDate,ShippingCost,CustomerID,CustomerEmail,Country,Membership,SignUpDate,LastOrderDate,TotalSpent,Customer Communication Log
927,820,Elizabeth Lopez,Toy,3,499.9251034,30-03-2025,17.55534217,171,marketfan8693@bestdeals.com,Canada,Premium,20-06-2022,20-06-2023,9999.567046,2022-01-13: Complaint about membership benefits
538,314,Robert Moore,Toy,3,827.3860385,10-11-2023,71.41641275,646,marketfan9243@shopworld.com,UK,VIP,08-10-2023,07-10-2024,9996.865035,2022-09-13: Feedback about membership benefits
604,364,Sarah Anderson,Shirt,3,577.3151532,30-12-2023,42.75931622,47,buyer9370@eshop.com,Germany,Premium,16-02-2022,16-02-2023,9977.978795,2022-01-06: Feedback about product availability
705,476,Sarah Williams,Bike,1,549.9431277,20-04-2024,35.76287235,288,marketfan5387@shopworld.com,Australia,Standard,15-10-2022,15-10-2023,9942.89226,2022-09-30: Inquiry about payment issues
118,51,Thomas Jackson,Toy,4,149.6226662,20-02-2023,13.34003877,642,shopper3639@eshop.com,Australia,Premium,04-10-2023,03-10-2024,9901.691276,2022-10-29: Request about membership benefits; 2022-08-04: Inquiry about payment issues; 2022-10-15: Request about product availability
632,384,David Martin,Book,2,997.6212495,19-01-2024,68.95439616,402,buyer536@eshop.com,Australia,Standard,06-02-2023,06-02-2024,9889.229866,2022-11-13: Inquiry for more information on a product; 2022-10-03: Complaint for more information on a product; 2022-12-23: Request about product availability
633,680,Sarah Williams,Shirt,2,827.5542912,10-11-2024,75.81294321,402,buyer536@eshop.com,Australia,Standard,06-02-2023,06-02-2024,9889.229866,2022-11-13: Inquiry for more information on a product; 2022-10-03: Complaint for more information on a product; 2022-12-23: Request about product availability
549,423,Elizabeth Williams,Book,3,884.8854512,27-02-2024,40.86909522,692,shopper1462@eshop.com,Canada,Premium,23-11-2023,22-11-2024,9880.87863,2022-04-25: Inquiry regarding order status; 2022-01-26: Inquiry about product availability
550,514,Susan Jackson,Book,3,418.5001324,28-05-2024,70.00855267,692,shopper1462@eshop.com,Canada,Premium,23-11-2023,22-11-2024,9880.87863,2022-04-25: Inquiry regarding order status; 2022-01-26: Inquiry about product availability
548,320,Robert Moore,Toy,3,353.4404924,16-11-2023,92.663916,692,shopper1462@eshop.com,Canada,Premium,23-11-2023,22-11-2024,9880.87863,2022-04-25: Inquiry regarding order status; 2022-01-26: Inquiry about product availability
498,984,Charles Johnson,Book,2,973.1997322,10-09-2025,99.34003725,383,dealhunter5276@shopworld.com,Canada,Standard,18-01-2023,18-01-2024,9862.549706,2022-12-24: Request about delayed delivery
497,281,Linda Brown,Shirt,4,40.75002236,08-10-2023,79.1754732,383,dealhunter5276@shopworld.com,Canada,Standard,18-01-2023,18-01-2024,9862.549706,2022-12-24: Request about delayed delivery
468,692,Patricia Williams,Bike,1,511.2245636,22-11-2024,11.62893791,287,buyer8405@bestdeals.com,Canada,Standard,14-10-2022,14-10-2023,9857.269062,2022-02-11: Request about product availability; 2022-10-13: Request about product availability; 2022-03-25: Feedback about payment issues
467,260,Mary Anderson,Laptop,2,64.17507151,17-09-2023,85.31637911,287,buyer8405@bestdeals.com,Canada,Standard,14-10-2022,14-10-2023,9857.269062,2022-02-11: Request about product availability; 2022-10-13: Request about product availability; 2022-03-25: Feedback about payment issues
719,572,James Martin,Shirt,3,408.3857954,25-07-2024,91.20123821,262,invalid_email,USA,VIP,19-09-2022,19-09-2023,9854.362849,2022-01-11: Feedback regarding order status; 2022-10-01: Complaint for more information on a product; 2022-04-22: Request about membership benefits
718,489,Michael Smith,Toy,1,341.0940757,03-05-2024,5.897818406,262,invalid_email,USA,VIP,19-09-2022,19-09-2023,9854.362849,2022-01-11: Feedback regarding order status; 2022-10-01: Complaint for more information on a product; 2022-04-22: Request about membership benefits
606,430,David Brown,Book,3,864.4187023,05-03-2024,88.94506657,355,shopper955@buyeasy.com,Germany,Premium,21-12-2022,21-12-2023,9840.864559,2022-08-05: Complaint about payment issues
605,366,William Gonzalez,Book,1,761.2721183,01-01-2024,87.95813403,355,shopper955@buyeasy.com,Germany,Premium,21-12-2022,21-12-2023,9840.864559,2022-08-05: Complaint about payment issues
607,813,Joseph Taylor,Toy,1,31.31683405,23-03-2025,24.6171351,355,shopper955@buyeasy.com,Germany,Premium,21-12-2022,21-12-2023,9840.864559,2022-08-05: Complaint about payment issues
243,256,Thomas Moore,Shirt,4,516.3836184,13-09-2023,17.92956748,616,marketfan6115@bestdeals.com,UK,VIP,08-09-2023,07-09-2024,9833.581142,2022-03-15: Inquiry regarding order status
242,124,John Moore,Book,2,175.0346994,04-05-2023,77.12718778,616,marketfan6115@bestdeals.com,UK,VIP,08-09-2023,07-09-2024,9833.581142,2022-03-15: Inquiry regarding order status
940,842,Karen Martinez,Toy,4,499.9251034,21-04-2025,68.11771632,189,buyer1866@bestdeals.com,USA,VIP,08-07-2022,08-07-2023,9833.443412,2022-02-23: Feedback about delayed delivery
344,395,David Martinez,Bike,2,529.7414289,30-01-2024,21.47085974,283,buyer2449@shopworld.com,UK,Premium,10-10-2022,10-10-2023,9786.895206,2022-07-18: Feedback for more information on a product; 2022-04-10: Inquiry about delayed delivery; 2022-03-07: Feedback about delayed delivery
343,177,Charles Thomas,Toy,1,254.4787784,26-06-2023,50.55608268,283,buyer2449@shopworld.com,UK,Premium,10-10-2022,10-10-2023,9786.895206,2022-07-18: Feedback for more information on a product; 2022-04-10: Inquiry about delayed delivery; 2022-03-07: Feedback about delayed delivery
66,29,Jessica Williams,Bike,3,787.3974402,29-01-2023,27.09722908,349,marketfan620@eshop.com,UK,Premium,15-12-2022,15-12-2023,9760.125928,2022-10-08: Request for more information on a product
67,869,Jessica Moore,Shirt,1,22.21909858,18-05-2025,13.66480244,349,marketfan620@eshop.com,UK,Premium,15-12-2022,15-12-2023,9760.125928,2022-10-08: Request for more information on a product
105,444,David Williams,Bike,3,549.4297231,19-03-2024,97.49270638,46,buyer5965@shopworld.com,UK,Premium,15-02-2022,15-02-2023,9744.739741,2022-08-19: Feedback about product availability; 2022-07-28: Inquiry for more information on a product; 2022-07-19: Complaint about payment issues
104,45,Jennifer Thomas,Toy,1,20.31645674,14-02-2023,70.62659084,46,buyer5965@shopworld.com,UK,Premium,15-02-2022,15-02-2023,9744.739741,2022-08-19: Feedback about product availability; 2022-07-28: Inquiry for more information on a product; 2022-07-19: Complaint about payment issues
837,647,Charles Williams,Bike,1,278.9447579,08-10-2024,93.161811,741,dealhunter9017@shopworld.com,Germany,Premium,11-01-2024,10-01-2025,9741.923089,2022-02-02: Request about payment issues; 2022-09-06: Complaint about membership benefits; 2022-03-16: Feedback about membership benefits
517,593,Sarah Jones,Shirt,4,499.9251034,15-08-2024,32.64896544,183,shopper9137@bestdeals.com,USA,Standard,02-07-2022,02-07-2023,9728.979245,2022-03-21: Request about product availability; 2022-06-22: Complaint for more information on a product; 2022-06-06: Complaint for more information on a product
516,296,Karen Brown,Toy,1,483.5822409,23-10-2023,7.920903672,183,shopper9137@bestdeals.com,USA,Standard,02-07-2022,02-07-2023,9728.979245,2022-03-21: Request about product availability; 2022-06-22: Complaint for more information on a product; 2022-06-06: Complaint for more information on a product
740,754,Robert Wilson,Toy,3,705.0448553,23-01-2025,83.32609587,755,buyer2100@shopworld.com,USA,Premium,25-01-2024,24-01-2025,9726.336222,2022-05-23: Request about product availability
739,517,Mary Johnson,Laptop,3,40.68292357,31-05-2024,19.88572283,755,buyer2100@shopworld.com,USA,Premium,25-01-2024,24-01-2025,9726.336222,2022-05-23: Request about product availability
722,491,James Miller,Laptop,3,525.4097621,05-05-2024,88.43242166,362,marketfan172@eshop.com,Germany,VIP,28-12-2022,28-12-2023,9702.214626,2022-04-18: Feedback regarding order status; 2022-06-11: Complaint about membership benefits
910,785,Jessica Jones,Laptop,3,499.9251034,23-02-2025,31.63655631,740,dealhunter7584@buyeasy.com,Germany,VIP,10-01-2024,09-01-2025,9684.637453,2022-03-30: Request about delayed delivery; 2022-06-12: Inquiry about membership benefits
316,162,William Williams,Book,1,855.3938182,11-06-2023,15.37986518,557,dealhunter8683@buyeasy.com,Germany,Premium,11-07-2023,10-07-2024,9664.572929,2022-06-19: Complaint regarding order status; 2023-01-01: Complaint about product availability; 2022-02-13: Request about payment issues
190,262,Joseph Williams,Laptop,1,265.2708041,19-09-2023,23.67791499,424,dealhunter3672@shopworld.com,Canada,Standard,28-02-2023,28-02-2024,9632.36719,2022-07-19: Complaint regarding order status; 2022-10-12: Request for more information on a product
189,88,Charles Davis,Laptop,3,227.7950095,29-03-2023,68.30559387,424,dealhunter3672@shopworld.com,Canada,Standard,28-02-2023,28-02-2024,9632.36719,2022-07-19: Complaint regarding order status; 2022-10-12: Request for more information on a product
992,981,David Johnson,Book,1,787.2676319,07-09-2025,23.58965408,594,dealhunter3802@buyeasy.com,Canada,Standard,17-08-2023,16-08-2024,9628.98994,2022-04-07: Inquiry for more information on a product
817,624,Karen Thomas,Book,2,675.0830736,15-09-2024,53.70494321,647,marketfan7681@bestdeals.com,Germany,Standard,09-10-2023,08-10-2024,9627.272877,2022-06-28: Complaint about delayed delivery; 2022-02-14: Request regarding order status; 2022-04-01: Feedback about product availability
818,949,Sarah Williams,Laptop,2,426.6624215,06-08-2025,21.88359385,647,marketfan7681@bestdeals.com,Germany,Standard,09-10-2023,08-10-2024,9627.272877,2022-06-28: Complaint about delayed delivery; 2022-02-14: Request regarding order status; 2022-04-01: Feedback about product availability
787,728,Michael Johnson,Toy,2,737.6300914,28-12-2024,82.3459994,497,marketfan8451@shopworld.com,Australia,Premium,12-05-2023,11-05-2024,9582.828715,2022-11-29: Complaint about membership benefits; 2022-07-06: Request for more information on a product; 2022-02-01: Feedback about product availability
785,579,Mary Williams,Bike,3,701.1954879,01-08-2024,49.2181952,497,marketfan8451@shopworld.com,Australia,Premium,12-05-2023,11-05-2024,9582.828715,2022-11-29: Complaint about membership benefits; 2022-07-06: Request for more information on a product; 2022-02-01: Feedback about product availability
786,611,Charles Jones,Laptop,3,524.5862103,02-09-2024,80.52468063,497,marketfan8451@shopworld.com,Australia,Premium,12-05-2023,11-05-2024,9582.828715,2022-11-29: Complaint about membership benefits; 2022-07-06: Request for more information on a product; 2022-02-01: Feedback about product availability
807,607,Robert Brown,Book,4,981.162911,29-08-2024,7.582203645,313,buyer8205@eshop.com,USA,Standard,09-11-2022,09-11-2023,9548.674706,2022-12-22: Request about payment issues
808,630,David Jackson,Book,2,710.1071888,21-09-2024,93.48449596,313,buyer8205@eshop.com,USA,Standard,09-11-2022,09-11-2023,9548.674706,2022-12-22: Request about payment issues
745,678,Richard Gonzalez,Book,4,381.3476469,08-11-2024,60.86428331,164,buyer3819@bestdeals.com,UK,Premium,13-06-2022,13-06-2023,9531.936647,2022-07-01: Complaint about delayed delivery; 2022-05-24: Inquiry about membership benefits
744,521,Elizabeth Martin,Laptop,1,25.88308636,04-06-2024,51.33680993,164,buyer3819@bestdeals.com,UK,Premium,13-06-2022,13-06-2023,9531.936647,2022-07-01: Complaint about delayed delivery; 2022-05-24: Inquiry about membership benefits
196,923,Robert Wilson,Toy,3,746.4025285,11-07-2025,72.50443049,588,marketfan4287@bestdeals.com,Germany,Standard,11-08-2023,10-08-2024,9520.167124,2022-02-02: Feedback about product availability; 2022-08-22: Request about delayed delivery
195,92,Charles Moore,Toy,3,325.1852523,02-04-2023,48.52853462,588,marketfan4287@bestdeals.com,Germany,Standard,11-08-2023,10-08-2024,9520.167124,2022-02-02: Feedback about product availability; 2022-08-22: Request about delayed delivery
92,174,David Jackson,Book,3,694.8490047,23-06-2023,50.5248826,263,buyer7041@eshop.com,UK,Standard,20-09-2022,20-09-2023,9518.384171,2022-02-18: Feedback about product availability
91,39,Sarah Moore,Shirt,4,386.857298,08-02-2023,19.29116215,263,buyer7041@eshop.com,UK,Standard,20-09-2022,20-09-2023,9518.384171,2022-02-18: Feedback about product availability
94,530,Joseph Smith,Shirt,1,123.7738504,13-06-2024,22.66949792,263,buyer7041@eshop.com,UK,Standard,20-09-2022,20-09-2023,9518.384171,2022-02-18: Feedback about product availability
93,450,Thomas Wilson,Toy,1,51.44159212,25-03-2024,82.39664514,263,buyer7041@eshop.com,UK,Standard,20-09-2022,20-09-2023,9518.384171,2022-02-18: Feedback about product availability
